file,,species,label_id,clip_idx,has_sound
clip_00001wav,,"Beluga,_White_Whale",2,1,1
clip_00002.wav,,"Beluga,_White_Whale",2,2,1
clip_00003.wav,,"Beluga,_White_Whale",2,3,1
clip_00004.wav,,"Beluga,_White_Whale",2,4,1
clip_00005.wav,,"Beluga,_White_Whale",2,5,1
clip_00006.wav,,"Beluga,_White_Whale",2,6,1
clip_00007.wav,,"Beluga,_White_Whale",2,7,1
clip_00008.wav,,"Beluga,_White_Whale",2,8,1
clip_00009.wav,,"Beluga,_White_Whale",2,9,1
clip_00010.wav,,"Beluga,_White_Whale",2,10,1
clip_00011.wav,,"Beluga,_White_Whale",2,11,1
