new_filename,original_filename,source,has_sound
Minke_00001.wav,1705_FLAC_1705_20171023_000047_321.flac,FLAC_1705,1
Minke_00002.wav,1705_FLAC_1705_20171023_000147_321.flac,FLAC_1705,0
Minke_00003.wav,1705_FLAC_1705_20171023_000247_320.flac,FLAC_1705,1
Minke_00004.wav,1705_FLAC_1705_20171023_000347_320.flac,FLAC_1705,0
Minke_00005.wav,1705_FLAC_1705_20171023_000447_321.flac,FLAC_1705,1
Minke_00006.wav,1705_FLAC_1705_20171023_000547_321.flac,FLAC_1705,1
Minke_00007.wav,1705_FLAC_1705_20171023_000647_320.flac,FLAC_1705,1
Minke_00008.wav,1705_FLAC_1705_20171023_000747_320.flac,FLAC_1705,1
Minke_00009.wav,1705_FLAC_1705_20171023_000847_320.flac,FLAC_1705,1
Minke_00010.wav,1705_FLAC_1705_20171023_000947_320.flac,FLAC_1705,1
Minke_00011.wav,1705_FLAC_1705_20171023_001047_321.flac,FLAC_1705,1
Minke_00012.wav,1705_FLAC_1705_20171023_001147_321.flac,FLAC_1705,1
Minke_00013.wav,1705_FLAC_1705_20171023_001247_320.flac,FLAC_1705,1
Minke_00014.wav,1705_FLAC_1705_20171023_001347_320.flac,FLAC_1705,1
Minke_00015.wav,1705_FLAC_1705_20171023_001447_320.flac,FLAC_1705,1
Minke_00016.wav,1705_FLAC_1705_20171023_001547_321.flac,FLAC_1705,1
Minke_00017.wav,1705_FLAC_1705_20171023_001647_321.flac,FLAC_1705,0
Minke_00018.wav,1705_FLAC_1705_20171023_001747_320.flac,FLAC_1705,1
Minke_00019.wav,1705_FLAC_1705_20171023_001847_320.flac,FLAC_1705,0
Minke_00020.wav,1705_FLAC_1705_20171023_001947_320.flac,FLAC_1705,0
Minke_00021.wav,1705_FLAC_1705_20171023_002047_320.flac,FLAC_1705,1
Minke_00022.wav,1705_FLAC_1705_20171023_002147_321.flac,FLAC_1705,0
Minke_00023.wav,1705_FLAC_1705_20171023_002247_321.flac,FLAC_1705,0
Minke_00024.wav,1705_FLAC_1705_20171023_002347_320.flac,FLAC_1705,0
Minke_00025.wav,1705_FLAC_1705_20171023_002447_320.flac,FLAC_1705,1
Minke_00026.wav,1705_FLAC_1705_20171023_002547_321.flac,FLAC_1705,1
Minke_00027.wav,1705_FLAC_1705_20171023_002647_321.flac,FLAC_1705,0
Minke_00028.wav,1705_FLAC_1705_20171023_002747_320.flac,FLAC_1705,0
Minke_00029.wav,1705_FLAC_1705_20171023_002847_320.flac,FLAC_1705,1
Minke_00030.wav,1705_FLAC_1705_20171023_002947_321.flac,FLAC_1705,0
Minke_00031.wav,1705_FLAC_1705_20171023_003047_321.flac,FLAC_1705,1
Minke_00032.wav,1705_FLAC_1705_20171023_003147_321.flac,FLAC_1705,0
Minke_00033.wav,1705_FLAC_1705_20171023_003247_321.flac,FLAC_1705,0
Minke_00034.wav,1705_FLAC_1705_20171023_003347_321.flac,FLAC_1705,1
Minke_00035.wav,1705_FLAC_1705_20171023_003447_320.flac,FLAC_1705,1
Minke_00036.wav,1705_FLAC_1705_20171023_003547_320.flac,FLAC_1705,0
Minke_00037.wav,1705_FLAC_1705_20171023_003647_321.flac,FLAC_1705,1
Minke_00038.wav,1705_FLAC_1705_20171023_003747_321.flac,FLAC_1705,0
Minke_00039.wav,1705_FLAC_1705_20171023_003847_320.flac,FLAC_1705,0
Minke_00040.wav,1705_FLAC_1705_20171023_003947_320.flac,FLAC_1705,1
Minke_00041.wav,1705_FLAC_1705_20171023_004047_321.flac,FLAC_1705,1
Minke_00042.wav,1705_FLAC_1705_20171023_004147_321.flac,FLAC_1705,0
Minke_00043.wav,1705_FLAC_1705_20171023_004247_320.flac,FLAC_1705,1
Minke_00044.wav,1705_FLAC_1705_20171023_004347_320.flac,FLAC_1705,0
Minke_00045.wav,1705_FLAC_1705_20171023_004447_320.flac,FLAC_1705,0
Minke_00046.wav,1705_FLAC_1705_20171023_004547_320.flac,FLAC_1705,1
Minke_00047.wav,1705_FLAC_1705_20171023_004647_321.flac,FLAC_1705,1
Minke_00048.wav,1705_FLAC_1705_20171023_004747_321.flac,FLAC_1705,1
Minke_00049.wav,1705_FLAC_1705_20171023_004847_320.flac,FLAC_1705,1
Minke_00050.wav,1705_FLAC_1705_20171023_004947_320.flac,FLAC_1705,1
Minke_00051.wav,1705_FLAC_1705_20171023_005047_321.flac,FLAC_1705,1
Minke_00052.wav,1705_FLAC_1705_20171023_005147_321.flac,FLAC_1705,1
Minke_00053.wav,1705_FLAC_1705_20171023_005247_321.flac,FLAC_1705,0
Minke_00054.wav,1705_FLAC_1705_20171023_005347_320.flac,FLAC_1705,1
Minke_00055.wav,1705_FLAC_1705_20171023_005447_320.flac,FLAC_1705,1
Minke_00056.wav,1705_FLAC_1705_20171023_005547_320.flac,FLAC_1705,1
Minke_00057.wav,1705_FLAC_1705_20171023_005647_320.flac,FLAC_1705,1
Minke_00058.wav,1705_FLAC_1705_20171023_005747_321.flac,FLAC_1705,1
Minke_00059.wav,1705_FLAC_1705_20171023_005847_321.flac,FLAC_1705,1
