file,train_file,species,label_id,clip_idx,has_sound
clip_00004.wav,train5.aiff,False_Killer_Whale,7,4,1
clip_00021.wav,train22.aiff,False_Killer_Whale,7,21,1
clip_00060.wav,train61.aiff,False_Killer_Whale,7,60,1
clip_00106.wav,train107.aiff,False_Killer_Whale,7,106,1
clip_00121.wav,train122.aiff,False_Killer_Whale,7,121,1
clip_00151.wav,train152.aiff,False_Killer_Whale,7,151,1
clip_00268.wav,train269.aiff,False_Killer_Whale,7,268,1
clip_00276.wav,train277.aiff,False_Killer_Whale,7,276,1
clip_00283.wav,train284.aiff,False_Killer_Whale,7,283,1
clip_00349.wav,train350.aiff,False_Killer_Whale,7,349,1
clip_00352.wav,train353.aiff,False_Killer_Whale,7,352,1
clip_00382.wav,train383.aiff,False_Killer_Whale,7,382,1
clip_00429.wav,train430.aiff,False_Killer_Whale,7,429,1
clip_00496.wav,train497.aiff,False_Killer_Whale,7,496,1
clip_00509.wav,train510.aiff,False_Killer_Whale,7,509,1
clip_00518.wav,train519.aiff,False_Killer_Whale,7,518,1
clip_00523.wav,train524.aiff,False_Killer_Whale,7,523,1
clip_00540.wav,train541.aiff,False_Killer_Whale,7,540,1
clip_00546.wav,train547.aiff,False_Killer_Whale,7,546,1
clip_00591.wav,train592.aiff,False_Killer_Whale,7,591,1
clip_00605.wav,train606.aiff,False_Killer_Whale,7,605,1
clip_00679.wav,train680.aiff,False_Killer_Whale,7,679,1
clip_00690.wav,train691.aiff,False_Killer_Whale,7,690,1
clip_00702.wav,train703.aiff,False_Killer_Whale,7,702,1
clip_00729.wav,train730.aiff,False_Killer_Whale,7,729,1
clip_00732.wav,train733.aiff,False_Killer_Whale,7,732,1
clip_00740.wav,train741.aiff,False_Killer_Whale,7,740,1
clip_00743.wav,train744.aiff,False_Killer_Whale,7,743,1
clip_00778.wav,train779.aiff,False_Killer_Whale,7,778,1
clip_00824.wav,train825.aiff,False_Killer_Whale,7,824,1
clip_00896.wav,train897.aiff,False_Killer_Whale,7,896,1
clip_00918.wav,train919.aiff,False_Killer_Whale,7,918,0
clip_00920.wav,train921.aiff,False_Killer_Whale,7,920,0
clip_00930.wav,train931.aiff,False_Killer_Whale,7,930,0
clip_00946.wav,train947.aiff,False_Killer_Whale,7,946,0
clip_00958.wav,train959.aiff,False_Killer_Whale,7,958,1
clip_01000.wav,train1001.aiff,False_Killer_Whale,7,1000,1
clip_01006.wav,train1007.aiff,False_Killer_Whale,7,1006,1
clip_01026.wav,train1027.aiff,False_Killer_Whale,7,1026,1
clip_01052.wav,train1053.aiff,False_Killer_Whale,7,1052,1
clip_01131.wav,train1132.aiff,False_Killer_Whale,7,1131,1
clip_01138.wav,train1139.aiff,False_Killer_Whale,7,1138,1
clip_01213.wav,train1214.aiff,False_Killer_Whale,7,1213,1
clip_01267.wav,train1268.aiff,False_Killer_Whale,7,1267,1
clip_01297.wav,train1298.aiff,False_Killer_Whale,7,1297,1
clip_01306.wav,train1307.aiff,False_Killer_Whale,7,1306,1
clip_01311.wav,train1312.aiff,False_Killer_Whale,7,1311,1
